timestamp,cpu_percent,ram_percent,failed_logins,active_users,open_ports,hour_of_day
2026-06-25 05:59:12,1.8,40.1,0,1,2,5
2026-06-25 05:59:23,1.5,40.0,0,1,2,5
2026-06-25 05:59:34,2.3,40.2,0,1,2,5
2026-06-25 05:59:45,5.3,59.0,0,1,2,5
2026-06-25 05:59:56,15.9,59.7,0,1,2,5
2026-06-25 06:00:07,6.4,66.3,0,1,2,6
2026-06-25 06:00:18,6.1,64.1,0,1,2,6
2026-06-25 06:00:29,7.8,61.5,0,1,2,6
2026-06-25 06:00:40,7.0,62.2,0,1,2,6
2026-06-25 06:00:51,4.7,62.1,0,1,2,6
2026-06-25 06:01:02,5.4,61.3,0,1,2,6
2026-06-25 06:01:13,4.9,61.5,0,1,2,6
2026-06-25 06:01:24,1.8,61.7,0,1,2,6
2026-06-25 06:01:35,4.4,61.6,0,1,2,6
2026-06-25 06:01:46,1.5,60.9,0,1,2,6
2026-06-25 06:01:57,4.3,61.0,0,1,2,6
2026-06-25 06:02:08,5.6,61.1,0,1,2,6
2026-06-25 06:02:19,5.4,61.2,0,1,2,6
2026-06-25 06:02:30,35.0,64.6,0,1,2,6
2026-06-25 06:02:41,7.2,64.3,0,1,2,6
2026-06-25 06:02:52,2.7,64.5,0,1,2,6
2026-06-25 06:03:03,1.5,64.4,0,1,2,6
2026-06-25 06:03:14,1.0,64.4,0,1,2,6
2026-06-25 06:03:25,1.3,64.4,0,1,2,6
2026-06-25 06:03:36,1.8,64.4,0,1,2,6
2026-06-25 06:03:48,1.8,64.1,0,1,2,6
2026-06-25 06:03:59,1.5,64.1,0,1,2,6
2026-06-25 06:04:10,1.3,64.2,0,1,2,6
2026-06-25 06:04:21,0.8,64.1,0,1,2,6
2026-06-25 06:04:32,9.0,64.3,0,1,2,6
2026-06-25 06:04:43,0.8,64.1,0,1,2,6
2026-06-25 06:04:54,7.4,64.1,0,1,2,6
2026-06-25 06:05:05,5.9,64.2,0,1,2,6
2026-06-25 06:05:16,1.2,64.2,0,1,2,6
2026-06-25 06:05:27,1.3,64.0,0,1,2,6
2026-06-25 06:05:38,2.0,64.2,0,1,2,6
2026-06-25 06:05:49,7.6,64.4,0,1,2,6
2026-06-25 06:06:00,1.5,64.4,0,1,2,6
2026-06-25 06:06:11,13.3,64.4,0,1,2,6
2026-06-25 06:06:22,12.5,65.1,0,1,2,6
2026-06-25 06:06:33,6.2,65.1,0,1,2,6
2026-06-25 06:06:44,5.6,64.9,0,1,2,6
2026-06-25 06:06:55,4.9,64.9,0,1,2,6
2026-06-25 06:07:06,5.4,65.0,0,1,2,6
2026-06-25 06:07:17,8.7,65.0,0,1,2,6
2026-06-25 06:07:28,14.7,68.7,0,1,2,6
2026-06-25 06:07:39,5.4,59.6,0,1,2,6
2026-06-25 06:07:50,5.9,59.8,0,1,2,6
2026-06-25 06:08:01,6.6,60.0,0,1,2,6
2026-06-25 06:08:12,9.8,60.2,0,1,2,6
2026-06-25 06:08:23,13.4,60.5,0,1,2,6
2026-06-25 06:08:34,0.8,61.0,0,1,2,6
2026-06-25 06:08:45,0.8,60.5,0,1,2,6
2026-06-25 06:08:56,1.5,60.5,0,1,2,6
2026-06-25 06:09:07,1.5,60.7,0,1,2,6
2026-06-25 06:09:18,1.5,60.2,0,1,2,6
2026-06-25 06:09:29,1.3,60.2,0,1,2,6
2026-06-25 06:09:40,4.3,60.6,0,1,2,6
2026-06-25 06:09:51,2.0,61.1,0,1,2,6
2026-06-25 06:10:02,2.3,61.1,0,1,2,6
2026-06-25 06:10:13,1.0,60.8,0,1,2,6
2026-06-25 06:10:24,0.8,60.8,0,1,2,6
2026-06-25 06:10:35,2.0,60.6,0,1,2,6
2026-06-25 06:10:46,2.3,60.7,0,1,2,6
2026-06-25 06:10:57,1.8,60.7,0,1,2,6
2026-06-25 06:11:08,3.1,60.7,0,1,2,6
2026-06-25 06:11:19,7.7,63.3,0,1,2,6
2026-06-25 06:11:30,2.0,62.1,0,1,2,6
2026-06-25 06:11:41,1.2,62.3,0,1,2,6
2026-06-25 06:11:52,1.3,61.8,0,1,2,6
2026-06-25 06:12:03,0.5,61.9,0,1,2,6
2026-06-25 06:12:14,1.5,61.7,0,1,2,6
2026-06-25 06:12:25,1.5,61.5,0,1,2,6
2026-06-25 06:12:36,1.5,61.6,0,1,2,6
2026-06-25 06:12:47,1.2,61.5,0,1,2,6
2026-06-25 06:12:58,2.0,61.4,0,1,2,6
2026-06-25 06:13:09,1.8,61.4,0,1,2,6
2026-06-25 06:13:20,5.1,61.6,0,1,2,6
2026-06-25 06:13:32,2.0,61.7,0,1,2,6
2026-06-25 06:13:43,1.5,61.7,0,1,2,6
2026-06-25 06:13:54,1.0,61.7,0,1,2,6
2026-06-25 06:14:05,1.8,61.7,0,1,2,6
2026-06-25 06:14:16,6.6,61.6,0,1,2,6
2026-06-25 06:14:27,1.5,61.6,0,1,2,6
2026-06-25 06:14:38,1.0,62.0,0,1,2,6
2026-06-25 06:14:49,7.9,61.6,0,1,2,6
2026-06-25 06:15:00,6.7,61.8,0,1,2,6
2026-06-25 06:15:11,1.8,61.5,0,1,2,6
2026-06-25 06:15:22,1.0,61.6,0,1,2,6
2026-06-25 06:15:33,1.3,61.4,0,1,2,6
2026-06-25 06:15:44,5.3,61.7,0,1,2,6
2026-06-25 06:15:55,1.3,61.8,0,1,2,6
2026-06-25 06:16:06,1.5,61.8,0,1,2,6
2026-06-25 06:16:17,1.5,62.1,0,1,2,6
2026-06-25 06:16:28,1.5,62.3,0,1,2,6
2026-06-25 06:16:39,1.5,61.9,0,1,2,6
2026-06-25 06:16:50,14.5,61.7,0,1,2,6
2026-06-25 06:17:01,7.8,61.9,0,1,2,6
2026-06-25 06:17:12,2.3,62.0,0,1,2,6
2026-06-25 06:17:23,3.3,62.1,0,1,2,6
2026-06-25 06:17:34,2.0,62.1,0,1,2,6
2026-06-25 06:17:45,1.8,62.1,0,1,2,6
2026-06-25 06:17:56,6.6,62.0,0,1,2,6
2026-06-25 06:18:07,5.9,62.0,0,1,2,6
2026-06-25 06:18:18,5.9,61.9,0,1,2,6
2026-06-25 06:18:29,7.7,61.1,0,1,2,6
2026-06-25 06:18:40,6.4,61.2,0,1,2,6
2026-06-25 06:18:51,4.6,61.1,0,1,2,6
2026-06-25 06:19:02,11.3,63.4,0,1,2,6
2026-06-25 06:19:13,3.3,63.5,0,1,2,6
2026-06-25 06:19:24,7.7,63.5,0,1,2,6
2026-06-25 06:19:35,5.4,63.4,0,1,2,6
2026-06-25 06:19:46,9.5,63.5,0,1,2,6
2026-06-25 06:19:57,7.2,63.4,0,1,2,6
2026-06-25 06:20:08,4.9,63.4,0,1,2,6
2026-06-25 06:20:19,5.1,63.5,0,1,2,6
2026-06-25 06:20:30,3.8,59.1,0,1,2,6
2026-06-25 06:20:41,4.4,59.1,0,1,2,6
2026-06-25 06:20:52,9.6,59.0,0,1,2,6
2026-06-25 06:21:03,4.7,58.9,0,1,2,6
2026-06-25 06:21:14,5.4,58.9,0,1,2,6
2026-06-25 06:21:25,14.5,60.0,0,1,2,6
2026-06-25 06:21:36,1.2,43.7,0,1,2,6
2026-06-25 06:21:47,2.0,42.6,0,1,2,6
2026-06-25 06:21:58,4.8,43.5,0,1,2,6
2026-06-25 06:22:09,0.8,42.9,0,1,2,6
2026-06-25 06:22:20,1.0,40.5,0,1,2,6
2026-06-25 06:22:31,2.3,40.4,0,1,2,6
2026-06-25 06:22:42,1.3,40.7,0,1,2,6
2026-06-25 06:22:53,2.0,40.6,0,1,2,6
2026-06-25 06:23:04,1.8,40.6,0,1,2,6
2026-06-25 06:23:16,1.3,40.7,0,1,2,6
2026-06-25 06:23:27,11.5,41.0,0,1,2,6
2026-06-25 06:23:38,1.8,46.8,0,1,2,6
2026-06-25 06:23:49,3.8,46.8,0,1,2,6
2026-06-25 06:24:00,1.5,46.5,0,1,2,6
2026-06-25 06:24:11,1.0,46.1,0,1,2,6
2026-06-25 06:24:22,0.8,45.9,0,1,2,6
2026-06-25 06:24:33,2.3,46.0,0,1,2,6
2026-06-25 06:24:44,2.0,45.5,0,1,2,6
2026-06-25 06:24:55,1.5,45.7,0,1,2,6
2026-06-25 06:25:06,3.3,46.2,0,1,2,6
2026-06-25 06:25:17,1.5,46.3,0,1,2,6
2026-06-25 06:25:28,1.0,46.4,0,1,2,6
2026-06-25 06:25:39,1.5,40.3,0,1,2,6
2026-06-25 06:25:50,0.8,40.4,0,1,2,6
2026-06-25 06:26:01,0.5,40.5,0,1,2,6
2026-06-25 06:26:12,1.5,40.6,0,1,2,6
2026-06-25 06:26:23,1.2,40.7,0,1,2,6
2026-06-25 06:26:34,1.0,40.7,0,1,2,6
2026-06-25 06:26:45,1.0,40.6,0,1,2,6
2026-06-25 06:26:56,1.3,40.8,0,1,2,6
2026-06-25 06:27:07,0.8,40.8,0,1,2,6
2026-06-25 06:27:18,1.7,40.8,0,1,2,6
2026-06-25 06:27:29,1.7,40.8,0,1,2,6
2026-06-25 06:27:40,1.5,40.8,0,1,2,6
2026-06-25 06:27:51,1.3,40.9,0,1,2,6
2026-06-25 06:28:02,1.3,40.9,0,1,2,6
2026-06-25 06:28:13,1.3,40.9,0,1,2,6
2026-06-25 06:28:24,2.0,40.8,0,1,2,6
2026-06-25 06:28:35,1.2,40.8,0,1,2,6
2026-06-25 06:28:46,0.5,40.7,0,1,2,6
2026-06-25 06:28:57,2.1,40.7,0,1,2,6
2026-06-25 06:29:08,1.7,40.7,0,1,2,6
2026-06-25 06:29:19,1.3,40.7,0,1,2,6
2026-06-25 06:29:30,0.8,40.7,0,1,2,6
2026-06-25 06:29:41,2.0,40.7,0,1,2,6
2026-06-25 06:29:52,1.3,40.7,0,1,2,6
2026-06-25 06:30:03,1.5,40.6,0,1,2,6
2026-06-25 06:30:14,1.5,40.7,0,1,2,6
2026-06-25 06:30:25,0.8,40.7,0,1,2,6
2026-06-25 06:30:36,1.3,40.7,0,1,2,6
2026-06-25 06:30:47,0.8,40.7,0,1,2,6
2026-06-25 06:30:58,2.0,40.7,0,1,2,6
2026-06-25 06:31:09,1.0,40.8,0,1,2,6
2026-06-25 06:31:20,1.5,40.7,0,1,2,6
2026-06-25 06:31:31,1.3,40.9,0,1,2,6
2026-06-25 06:31:42,1.8,41.0,0,1,2,6
2026-06-25 06:31:53,2.0,41.0,0,1,2,6
2026-06-25 06:32:04,1.0,40.8,0,1,2,6
2026-06-25 06:32:15,1.3,40.8,0,1,2,6
2026-06-25 06:32:26,1.5,40.8,0,1,2,6
2026-06-25 06:32:37,1.5,40.8,0,1,2,6
2026-06-25 06:32:48,0.5,40.8,0,1,2,6
2026-06-25 06:32:59,1.3,40.8,0,1,2,6
2026-06-25 06:33:11,1.3,40.8,0,1,2,6
2026-06-25 06:33:22,0.8,40.8,0,1,2,6
2026-06-25 06:33:33,1.5,40.8,0,1,2,6
2026-06-25 06:33:44,1.0,40.8,0,1,2,6
2026-06-25 06:33:55,2.0,41.0,0,1,2,6
2026-06-25 06:34:06,1.0,40.9,0,1,2,6
2026-06-25 06:34:17,1.8,41.0,0,1,2,6
2026-06-25 06:34:28,1.8,40.9,0,1,2,6
2026-06-25 06:34:39,1.0,40.9,0,1,2,6
2026-06-25 06:34:50,0.8,40.9,0,1,2,6
2026-06-25 06:35:01,1.5,40.9,0,1,2,6
2026-06-25 06:35:12,0.3,40.9,0,1,2,6
2026-06-25 06:35:23,1.3,40.9,0,1,2,6
2026-06-25 06:35:34,1.0,40.8,0,1,2,6
2026-06-25 06:35:45,4.3,40.8,0,1,2,6
2026-06-25 06:35:56,1.2,42.0,0,1,2,6
2026-06-25 06:36:07,1.8,42.2,0,1,2,6
2026-06-25 06:36:18,0.8,42.3,0,1,2,6
2026-06-25 06:36:29,2.3,42.3,0,1,2,6
2026-06-25 06:36:40,1.8,42.3,0,1,2,6
2026-06-25 06:36:51,1.0,42.3,0,1,2,6
2026-06-25 06:37:02,1.0,42.4,0,1,2,6
2026-06-25 06:37:13,2.8,42.4,0,1,2,6
2026-06-25 06:37:24,2.0,42.4,0,1,2,6
2026-06-25 06:37:35,0.8,42.2,0,1,2,6
2026-06-25 06:37:46,1.0,42.2,0,1,2,6
2026-06-25 06:37:57,1.8,42.2,0,1,2,6
2026-06-25 06:38:08,1.3,42.2,0,1,2,6
2026-06-25 06:38:19,1.8,42.3,0,1,2,6
2026-06-25 06:38:30,1.5,42.3,0,1,2,6
2026-06-25 06:38:41,1.0,42.3,0,1,2,6
2026-06-25 06:38:52,2.5,42.2,0,1,2,6
2026-06-25 06:39:03,1.3,42.2,0,1,2,6
2026-06-25 06:39:14,1.8,42.2,0,1,2,6
2026-06-25 06:39:25,1.5,42.1,0,1,2,6
2026-06-25 06:39:36,1.3,42.1,0,1,2,6
2026-06-25 06:39:47,1.0,42.1,0,1,2,6
2026-06-25 06:39:58,0.7,42.1,0,1,2,6
2026-06-25 06:40:09,2.0,42.1,0,1,2,6
2026-06-25 06:40:20,1.5,42.6,0,1,2,6
2026-06-25 06:40:31,2.3,42.6,0,1,2,6
2026-06-25 06:40:42,2.0,42.7,0,1,2,6
2026-06-25 06:40:53,1.2,42.6,0,1,2,6
2026-06-25 06:41:04,1.0,42.6,0,1,2,6
2026-06-25 06:41:15,1.2,42.5,0,1,2,6
2026-06-25 06:41:26,1.5,42.1,0,1,2,6
2026-06-25 06:41:37,1.0,42.1,0,1,2,6
2026-06-25 06:41:48,1.0,42.1,0,1,2,6
2026-06-25 06:41:59,1.3,42.1,0,1,2,6
2026-06-25 06:42:10,1.3,42.1,0,1,2,6
2026-06-25 06:42:21,7.6,42.0,0,1,2,6
2026-06-25 06:42:32,5.1,41.9,0,1,2,6
2026-06-25 06:42:44,10.1,42.1,0,1,2,6
2026-06-25 06:42:55,9.4,42.2,0,1,2,6
2026-06-25 06:43:06,0.8,42.1,0,1,2,6
2026-06-25 06:43:17,2.3,42.0,0,1,2,6
2026-06-25 06:43:28,4.6,42.0,0,1,2,6
2026-06-25 06:43:39,2.5,42.0,0,1,2,6
2026-06-25 06:43:50,2.3,42.0,0,1,2,6
2026-06-25 06:44:01,5.8,41.9,0,1,2,6
2026-06-25 06:44:12,1.8,41.9,0,1,2,6
2026-06-25 06:44:23,6.8,41.8,0,1,2,6
2026-06-25 06:44:34,4.1,41.8,0,1,2,6
2026-06-25 06:44:45,8.9,41.8,0,1,2,6
2026-06-25 06:44:56,2.8,41.7,0,1,2,6
2026-06-25 06:45:07,1.5,41.9,0,1,2,6
2026-06-25 06:45:18,1.0,42.0,0,1,2,6
2026-06-25 06:45:29,0.7,42.0,0,1,2,6
2026-06-25 06:45:40,0.8,42.1,0,1,2,6
2026-06-25 06:45:51,0.5,41.7,0,1,2,6
2026-06-25 06:46:02,1.8,43.2,0,1,2,6
2026-06-25 06:46:13,0.8,42.3,0,1,2,6
2026-06-25 06:46:24,1.0,42.3,0,1,2,6
2026-06-25 06:46:35,1.0,42.2,0,1,2,6
2026-06-25 06:46:46,1.3,42.2,0,1,2,6
2026-06-25 06:46:57,1.0,42.2,0,1,2,6
2026-06-25 06:47:08,1.0,42.2,0,1,2,6
2026-06-25 06:47:19,0.8,42.2,0,1,2,6
2026-06-25 06:47:30,5.4,62.9,0,1,2,6
2026-06-25 06:47:41,10.0,61.8,0,1,2,6
2026-06-25 06:47:52,20.5,64.3,0,1,2,6
2026-06-25 06:48:03,13.3,65.7,0,1,2,6
2026-06-25 06:48:14,15.5,65.4,0,1,2,6
2026-06-25 06:48:25,9.1,65.7,0,1,2,6
2026-06-25 06:48:36,1.0,66.7,0,1,2,6
2026-06-25 06:48:47,0.8,66.5,0,1,2,6
